"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Kuukauden keskilämpötila [°C]"
"Jyväskylä lentoasema","1986","6","1","03:00","16.4"
"Jyväskylä lentoasema","1986","7","1","03:00","16.3"
"Jyväskylä lentoasema","1986","8","1","03:00","12.1"
"Jyväskylä lentoasema","1986","9","1","03:00","5.4"
"Jyväskylä lentoasema","1986","10","1","02:00","4.1"
"Jyväskylä lentoasema","1986","11","1","02:00","1.9"
"Jyväskylä lentoasema","1986","12","1","02:00","-12.6"
"Jyväskylä lentoasema","1987","1","1","02:00","-21.6"
"Jyväskylä lentoasema","1987","2","1","02:00","-10.1"
"Jyväskylä lentoasema","1987","3","1","02:00","-7.6"
"Jyväskylä lentoasema","1987","4","1","03:00","1.2"
"Jyväskylä lentoasema","1987","5","1","03:00","7"
"Jyväskylä lentoasema","1987","6","1","03:00","12.7"
"Jyväskylä lentoasema","1987","7","1","03:00","14.2"
"Jyväskylä lentoasema","1987","8","1","03:00","10.5"
"Jyväskylä lentoasema","1987","9","1","03:00","7.2"
"Jyväskylä lentoasema","1987","10","1","02:00","5.6"
"Jyväskylä lentoasema","1987","11","1","02:00","-3.7"
"Jyväskylä lentoasema","1987","12","1","02:00","-8.3"
"Jyväskylä lentoasema","1988","1","1","02:00","-6.4"
"Jyväskylä lentoasema","1988","2","1","02:00","-7.5"
"Jyväskylä lentoasema","1988","3","1","02:00","-4.4"
"Jyväskylä lentoasema","1988","4","1","03:00","-0.1"
"Jyväskylä lentoasema","1988","5","1","03:00","9.5"
"Jyväskylä lentoasema","1988","6","1","03:00","15.8"
"Jyväskylä lentoasema","1988","7","1","03:00","19.2"
"Jyväskylä lentoasema","1988","8","1","03:00","13.2"
"Jyväskylä lentoasema","1988","9","1","03:00","9.6"
"Jyväskylä lentoasema","1988","10","1","02:00","2.6"
"Jyväskylä lentoasema","1988","11","1","02:00","-6.4"
"Jyväskylä lentoasema","1988","12","1","02:00","-9.4"
"Jyväskylä lentoasema","1989","1","1","02:00","-2.6"
"Jyväskylä lentoasema","1989","2","1","02:00","-2"
"Jyväskylä lentoasema","1989","3","1","02:00","-0.2"
"Jyväskylä lentoasema","1989","4","1","03:00","3.6"
"Jyväskylä lentoasema","1989","5","1","03:00","9.9"
"Jyväskylä lentoasema","1989","6","1","03:00","15.6"
"Jyväskylä lentoasema","1989","7","1","03:00","15.8"
"Jyväskylä lentoasema","1989","8","1","03:00","13.4"
"Jyväskylä lentoasema","1989","9","1","03:00","9.8"
"Jyväskylä lentoasema","1989","10","1","02:00","2.8"
"Jyväskylä lentoasema","1989","11","1","02:00","-1.7"
"Jyväskylä lentoasema","1989","12","1","02:00","-7.9"
"Jyväskylä lentoasema","1990","1","1","02:00","-8.7"
"Jyväskylä lentoasema","1990","2","1","02:00","-0.3"
"Jyväskylä lentoasema","1990","3","1","02:00","-1.5"
"Jyväskylä lentoasema","1990","4","1","03:00","3.8"
"Jyväskylä lentoasema","1990","5","1","03:00","8.4"
"Jyväskylä lentoasema","1990","6","1","03:00","13.1"
"Jyväskylä lentoasema","1990","7","1","03:00","14.7"
"Jyväskylä lentoasema","1990","8","1","03:00","14.2"
"Jyväskylä lentoasema","1990","9","1","03:00","6.7"
"Jyväskylä lentoasema","1990","10","1","02:00","3.6"
"Jyväskylä lentoasema","1990","11","1","02:00","-4.2"
"Jyväskylä lentoasema","1990","12","1","02:00","-3"
"Jyväskylä lentoasema","1991","1","1","02:00","-6.5"
"Jyväskylä lentoasema","1991","2","1","02:00","-10"
"Jyväskylä lentoasema","1991","3","1","02:00","-3.2"
"Jyväskylä lentoasema","1991","4","1","03:00","2.3"
"Jyväskylä lentoasema","1991","5","1","03:00","6"
"Jyväskylä lentoasema","1991","6","1","03:00","12.5"
"Jyväskylä lentoasema","1991","7","1","03:00","16.5"
"Jyväskylä lentoasema","1991","8","1","03:00","15"
"Jyväskylä lentoasema","1991","9","1","03:00","7.8"
"Jyväskylä lentoasema","1991","10","1","02:00","4.4"
"Jyväskylä lentoasema","1991","11","1","02:00","1.6"
"Jyväskylä lentoasema","1991","12","1","02:00","-3.6"
"Jyväskylä lentoasema","1992","1","1","02:00","-4.4"
"Jyväskylä lentoasema","1992","2","1","02:00","-4.4"
"Jyväskylä lentoasema","1992","3","1","02:00","-0.7"
"Jyväskylä lentoasema","1992","4","1","03:00","-0.5"
"Jyväskylä lentoasema","1992","5","1","03:00","10.4"
"Jyväskylä lentoasema","1992","6","1","03:00","15.2"
"Jyväskylä lentoasema","1992","7","1","03:00","14.5"
"Jyväskylä lentoasema","1992","8","1","03:00","12.7"
"Jyväskylä lentoasema","1992","9","1","03:00","10.3"
"Jyväskylä lentoasema","1992","10","1","02:00","-2.8"
"Jyväskylä lentoasema","1992","11","1","02:00","-5"
"Jyväskylä lentoasema","1992","12","1","02:00","-1.2"
"Jyväskylä lentoasema","1993","1","1","02:00","-4.4"
"Jyväskylä lentoasema","1993","2","1","02:00","-5.2"
"Jyväskylä lentoasema","1993","3","1","02:00","-2"
"Jyväskylä lentoasema","1993","4","1","03:00","1.6"
"Jyväskylä lentoasema","1993","5","1","03:00","11.6"
"Jyväskylä lentoasema","1993","6","1","03:00","10.6"
"Jyväskylä lentoasema","1993","7","1","03:00","15.1"
"Jyväskylä lentoasema","1993","8","1","03:00","12.5"
"Jyväskylä lentoasema","1993","9","1","03:00","4.6"
"Jyväskylä lentoasema","1993","10","1","02:00","1.4"
"Jyväskylä lentoasema","1993","11","1","02:00","-5.3"
"Jyväskylä lentoasema","1993","12","1","02:00","-6.2"
"Jyväskylä lentoasema","1994","1","1","02:00","-7.8"
"Jyväskylä lentoasema","1994","2","1","02:00","-16.1"
"Jyväskylä lentoasema","1994","3","1","02:00","-4.7"
"Jyväskylä lentoasema","1994","4","1","03:00","3.4"
"Jyväskylä lentoasema","1994","5","1","03:00","6.6"
"Jyväskylä lentoasema","1994","6","1","03:00","12.5"
"Jyväskylä lentoasema","1994","7","1","03:00","18.2"
"Jyväskylä lentoasema","1994","8","1","03:00","14.1"
"Jyväskylä lentoasema","1994","9","1","03:00","8.9"
"Jyväskylä lentoasema","1994","10","1","02:00","2.6"
"Jyväskylä lentoasema","1994","11","1","02:00","-3.1"
"Jyväskylä lentoasema","1994","12","1","02:00","-2.7"
"Jyväskylä lentoasema","1995","1","1","02:00","-5.4"
"Jyväskylä lentoasema","1995","2","1","02:00","-3.2"
"Jyväskylä lentoasema","1995","3","1","02:00","-1.3"
"Jyväskylä lentoasema","1995","4","1","03:00","1.2"
"Jyväskylä lentoasema","1995","5","1","03:00","7.8"
"Jyväskylä lentoasema","1995","6","1","03:00","16.5"
"Jyväskylä lentoasema","1995","7","1","03:00","14.7"
"Jyväskylä lentoasema","1995","8","1","03:00","14.2"
"Jyväskylä lentoasema","1995","9","1","03:00","9"
"Jyväskylä lentoasema","1995","10","1","02:00","6.2"
"Jyväskylä lentoasema","1995","11","1","02:00","-4.5"
"Jyväskylä lentoasema","1995","12","1","02:00","-11"
"Jyväskylä lentoasema","1996","1","1","02:00","-7.5"
"Jyväskylä lentoasema","1996","2","1","02:00","-13.3"
"Jyväskylä lentoasema","1996","3","1","02:00","-4.9"
"Jyväskylä lentoasema","1996","4","1","03:00","1.5"
"Jyväskylä lentoasema","1996","5","1","03:00","7.7"
"Jyväskylä lentoasema","1996","6","1","03:00","13"
"Jyväskylä lentoasema","1996","7","1","03:00","13.8"
"Jyväskylä lentoasema","1996","8","1","03:00","16.1"
"Jyväskylä lentoasema","1996","9","1","03:00","7.1"
"Jyväskylä lentoasema","1996","10","1","03:00","4.9"
"Jyväskylä lentoasema","1996","11","1","02:00","1"
"Jyväskylä lentoasema","1996","12","1","02:00","-8.5"
"Jyväskylä lentoasema","1997","1","1","02:00","-8.1"
"Jyväskylä lentoasema","1997","2","1","02:00","-6.5"
"Jyväskylä lentoasema","1997","3","1","02:00","-3.2"
"Jyväskylä lentoasema","1997","4","1","03:00","-0.7"
"Jyväskylä lentoasema","1997","5","1","03:00","6.5"
"Jyväskylä lentoasema","1997","6","1","03:00","15.4"
"Jyväskylä lentoasema","1997","7","1","03:00","18.1"
"Jyväskylä lentoasema","1997","8","1","03:00","16.6"
"Jyväskylä lentoasema","1997","9","1","03:00","9.2"
"Jyväskylä lentoasema","1997","10","1","03:00","1"
"Jyväskylä lentoasema","1997","11","1","02:00","-2.3"
"Jyväskylä lentoasema","1997","12","1","02:00","-5.8"
"Jyväskylä lentoasema","1998","1","1","02:00","-4.7"
"Jyväskylä lentoasema","1998","2","1","02:00","-9.5"
"Jyväskylä lentoasema","1998","3","1","02:00","-7.4"
"Jyväskylä lentoasema","1998","4","1","03:00","0.3"
"Jyväskylä lentoasema","1998","5","1","03:00","7.7"
"Jyväskylä lentoasema","1998","6","1","03:00","13.1"
"Jyväskylä lentoasema","1998","7","1","03:00","15.6"
"Jyväskylä lentoasema","1998","8","1","03:00","12.4"
"Jyväskylä lentoasema","1998","9","1","03:00","9.7"
"Jyväskylä lentoasema","1998","10","1","03:00","4.1"
"Jyväskylä lentoasema","1998","11","1","02:00","-4.4"
"Jyväskylä lentoasema","1998","12","1","02:00","-5.6"
"Jyväskylä lentoasema","1999","1","1","02:00","-10.1"
"Jyväskylä lentoasema","1999","2","1","02:00","-10.2"
"Jyväskylä lentoasema","1999","3","1","02:00","-3.3"
"Jyväskylä lentoasema","1999","4","1","03:00","4"
"Jyväskylä lentoasema","1999","6","1","03:00","17.7"
"Jyväskylä lentoasema","1999","7","1","03:00","16.8"
"Jyväskylä lentoasema","1999","8","1","03:00","13"
"Jyväskylä lentoasema","1999","9","1","03:00","10"
"Jyväskylä lentoasema","1999","10","1","03:00","5.1"
"Jyväskylä lentoasema","1999","11","1","02:00","0"
"Jyväskylä lentoasema","1999","12","1","02:00","-5.3"
"Jyväskylä lentoasema","2000","1","1","02:00","-6.1"
"Jyväskylä lentoasema","2000","2","1","02:00","-5.1"
"Jyväskylä lentoasema","2000","3","1","02:00","-3.3"
"Jyväskylä lentoasema","2000","4","1","03:00","3.6"
"Jyväskylä lentoasema","2000","5","1","03:00","9.2"
"Jyväskylä lentoasema","2000","6","1","03:00","13.5"
"Jyväskylä lentoasema","2000","7","1","03:00","16.2"
"Jyväskylä lentoasema","2000","8","1","03:00","13.6"
"Jyväskylä lentoasema","2000","9","1","03:00","7.8"
"Jyväskylä lentoasema","2000","10","1","03:00","7"
"Jyväskylä lentoasema","2000","11","1","02:00","1.8"
"Jyväskylä lentoasema","2000","12","1","02:00","-1.5"
"Jyväskylä lentoasema","2001","1","1","02:00","-4.3"
"Jyväskylä lentoasema","2001","2","1","02:00","-10.9"
"Jyväskylä lentoasema","2001","3","1","02:00","-7.1"
"Jyväskylä lentoasema","2001","4","1","03:00","4.2"
"Jyväskylä lentoasema","2001","5","1","03:00","7.7"
"Jyväskylä lentoasema","2001","6","1","03:00","13.5"
"Jyväskylä lentoasema","2001","7","1","03:00","18.4"
"Jyväskylä lentoasema","2001","8","1","03:00","14.4"
"Jyväskylä lentoasema","2001","9","1","03:00","10"
"Jyväskylä lentoasema","2001","10","1","03:00","5.4"
"Jyväskylä lentoasema","2001","11","1","02:00","-2.7"
"Jyväskylä lentoasema","2001","12","1","02:00","-11.1"
"Jyväskylä lentoasema","2002","1","1","02:00","-7"
"Jyväskylä lentoasema","2002","2","1","02:00","-3.2"
"Jyväskylä lentoasema","2002","3","1","02:00","-2.3"
"Jyväskylä lentoasema","2002","4","1","03:00","3.6"
"Jyväskylä lentoasema","2002","5","1","03:00","10.7"
"Jyväskylä lentoasema","2002","6","1","03:00","15.3"
"Jyväskylä lentoasema","2002","7","1","03:00","18.1"
"Jyväskylä lentoasema","2002","8","1","03:00","17"
"Jyväskylä lentoasema","2002","9","1","03:00","8.5"
"Jyväskylä lentoasema","2002","10","1","03:00","-1.6"
"Jyväskylä lentoasema","2002","11","1","02:00","-6.3"
"Jyväskylä lentoasema","2003","1","1","02:00","-14.1"
"Jyväskylä lentoasema","2003","3","1","02:00","-1.6"
"Jyväskylä lentoasema","2003","4","1","03:00","0.9"
"Jyväskylä lentoasema","2003","5","1","03:00","9.7"
"Jyväskylä lentoasema","2003","7","1","03:00","19.7"
"Jyväskylä lentoasema","2003","8","1","03:00","14.4"
"Jyväskylä lentoasema","2003","9","1","03:00","9.7"
"Jyväskylä lentoasema","2003","10","1","03:00","2.2"
"Jyväskylä lentoasema","2003","11","1","02:00","0.4"
"Jyväskylä lentoasema","2003","12","1","02:00","-4.1"
"Jyväskylä lentoasema","2004","1","1","02:00","-9.8"
